,well,lat,lon
399,15/9-A-14,6470278.51,436134.86
400,15/9-A-14 A,6470278.51,436134.86
401,15/9-A-14 T2,6470278.51,436134.86
402,15/9-A-14 T3,6470278.51,436134.86
403,15/9-A-14 T4,6470278.51,436134.86
404,15/9-A-15,6470280.65,436136.19
405,15/9-A-16,6470282.8,436137.37
406,15/9-A-17,6470259.51,436161.7
407,15/9-A-18,6470261.34,436163.03
408,15/9-A-19,6470263.49,436164.36
409,15/9-A-19 A,6470263.49,436164.36
410,15/9-A-19 AT2,6470263.49,436164.36
411,15/9-A-2,6470282.63,436128.42
412,15/9-A-2 T2,6470282.63,436128.42
413,15/9-A-20,6470265.63,436165.7
414,15/9-A-21,6470260.94,436168.71
415,15/9-A-22,6470260.07,436165.12
416,15/9-A-22 A,6470260.07,436165.12
417,15/9-A-23,6470262.22,436166.45
418,15/9-A-23 A,6470262.22,436166.45
419,15/9-A-23 B,6470262.22,436166.45
420,15/9-A-24,6470264.36,436167.79
421,15/9-A-25,6470256.66,436166.04
422,15/9-A-26,6470258.8,436167.37
423,15/9-A-27,6470260.94,436168.71
424,15/9-A-28,6470262.17,436169.38
425,15/9-A-3,6470284.47,436129.75
426,15/9-A-3 T2,6470284.47,436129.75
427,15/9-A-4,6470286.61,436131.09
428,15/9-A-5,6470260.94,436168.71
429,15/9-A-5 T2,6470260.94,436168.71
430,15/9-A-6,6470281.04,436131.0
431,15/9-A-7,6470283.2,436131.85
432,15/9-A-8,6470285.34,436133.18
433,15/9-A-9,6470277.94,436131.44
434,15/9-B-1,6476106.45,425091.81
435,15/9-B-1 T2,6476106.45,425091.81
436,15/9-B-10,6476102.95,425096.78
437,15/9-B-11,6476104.14,425099.07
438,15/9-B-11 T2,6476104.14,425099.07
439,15/9-B-12,6476105.64,425101.54
440,15/9-B-12 T2,6476105.64,425101.54
441,15/9-B-12 T3,6476105.64,425101.54
442,15/9-B-12 T4,6476105.64,425101.54
443,15/9-B-13,6476099.26,425095.73
444,15/9-B-13 T2,6476099.26,425095.73
445,15/9-B-14,6476100.45,425098.03
446,15/9-B-15,6476101.95,425100.49
447,15/9-B-16,6476103.14,425102.79
448,15/9-B-17,6476099.26,425095.73
449,15/9-B-17 T2,6476099.26,425095.73
450,15/9-B-18,6476098.26,425099.28
451,15/9-B-19,6476099.45,425101.74
452,15/9-B-2,6476107.64,425094.11
453,15/9-B-2 T2,6476107.64,425094.11
454,15/9-B-20,6476100.65,425104.04
455,15/9-B-20 A,6476100.65,425104.04
456,15/9-B-20 AT2,6476100.65,425104.04
457,15/9-B-20 T2,6476100.65,425104.04
458,15/9-B-20 T3,6476100.65,425104.04
459,15/9-B-20 T4,6476100.65,425104.04
460,15/9-B-20 Y1,6476100.65,425104.04
461,15/9-B-21,6476094.57,425098.24
462,15/9-B-22,6476095.76,425100.7
463,15/9-B-22 A,6476095.76,425100.7
464,15/9-B-22 T2,6476095.76,425100.7
465,15/9-B-22 T3,6476095.76,425100.7
466,15/9-B-22 T4,6476095.76,425100.7
467,15/9-B-23,6476097.26,425103.0
468,15/9-B-24,6476098.45,425105.46
469,15/9-B-3,6476108.83,425096.56
470,15/9-B-4,6476110.33,425098.87
471,15/9-B-4 A,6476110.33,425098.87
472,15/9-B-4 AT2,6476110.33,425098.87
473,15/9-B-4 T2,6476110.33,425098.87
474,15/9-B-5,6476103.95,425093.06
475,15/9-B-5 T2,6476103.95,425093.06
476,15/9-B-6,6476105.14,425095.36
477,15/9-B-7,6476106.64,425097.82
478,15/9-B-7 T2,6476106.64,425097.82
479,15/9-B-8,6476107.84,425100.12
480,15/9-B-8 A,6476107.84,425100.12
481,15/9-B-8 B,6476107.84,425100.12
482,15/9-B-8 C,6476107.84,425100.12
483,15/9-B-8 D,6476107.84,425100.12
484,15/9-B-9,6476101.76,425094.32
485,15/9-C-2 AH,6477889.7,437498.79
486,15/9-C-2 AHT2,6477889.7,437498.79
487,15/9-C-2 H,6477889.7,437498.79
488,15/9-D-1 H,6473576.72,436692.17
489,15/9-D-3 H,6473590.73,436705.87
490,15/9-E-1 H,6484901.0,425543.33
491,15/9-E-2 H,6484907.64,425552.04
492,15/9-E-3 H,6484904.19,425554.73
493,15/9-E-4 H,6484897.55,425546.18
494,15/9-F-1,6478566.77,435046.53
495,15/9-F-1 A,6478566.77,435046.53
496,15/9-F-1 B,6478566.77,435046.53
497,15/9-F-1 C,6478566.77,435046.53
498,15/9-F-10,6478559.56,435052.25
499,15/9-F-10 A,6478559.56,435052.25
500,15/9-F-10 B,6478559.56,435052.25
501,15/9-F-11,6478568.28,435049.15
502,15/9-F-11 A,6478568.28,435049.15
503,15/9-F-11 B,6478568.28,435049.15
504,15/9-F-11 T2,6478568.28,435049.15
505,15/9-F-12,6478574.75,435050.23
506,15/9-F-14,6478562.34,435052.46
507,15/9-F-15,6478560.47,435053.56
508,15/9-F-15 A,6478560.47,435053.56
509,15/9-F-15 B,6478560.47,435053.56
510,15/9-F-15 C,6478560.47,435053.56
511,15/9-F-15 D,6478560.47,435053.56
